wikidata_id,xeno_canto_id
Q2827234,Cercotrichas-quadrivirgata
Q1268575,Glaucidium-castanopterum
Q1923042,Trochocercus nitens
Q516264,Perissocephalus-tricolor
Q636360,Philemon-albitorques
Q2073679,Peltops-montanus
Q1307410,Pomatorhinus-hypoleucos
Q3316484,Lamprotornis-acuticaudus
Q27907729,Calandrella-dukhunensis
Q1265995,Ducula-spilorrhoa
Q467996,Eudocimus-ruber
Q607143,Saltator-albicollis
Q3726265,Emberiza-capensis
Q27452709,Calidris-subruficollis
Q928507,Hydrornis-schneideri
Q2668236,Actinodura-waldeni
Q14628326,Colaptes-oceanicus
Q3136299,Hirundo-domicola
Q12267780,Symposiachrus-bimaculatus
Q27074980,Thectocercus-acuticaudatus
Q4781424,Cantorchilus-superciliaris
Q944282,Merops-malimbicus
Q790627,Chalcopsitta-duivenbodei
Q690956,Zonotrichia-atricapilla
Q877666,Cuculus-micropterus
Q280225,Copsychus-sechellarum
Q27044100,Coccopygia-quartinia
Q163049,Prunella-montanella
Q835926,Poicephalus-senegalus
Q27907737,Ficedula-ruficauda
Q622637,Eudyptes-pachyrhynchus
Q1275889,Pternistis-clappertoni
Q28871684,Erythrogenys-hypoleucos
Q1267465,Geoffroyus-simplex
Q601988,Pachyptila-turtur
Q244251,Pericrocotus-cinnamomeus
Q2141239,Trichoglossus-forsteni
Q27075456,Horornis-diphone
Q420840,Merops-orientalis
Q3315255,Myadestes-unicolor
Q692323,Melospiza-lincolnii
Q671212,Cephalopterus-glabricollis
Q968889,Rhipidura-atra
Q1303416,Toxostoma-longirostre
Q3321047,Apalis-karamojae
Q809446,Phylloscopus-schwarzi
Q674329,Gerygone-insularis
Q834627,Sturnornis-albofrontatus
Q520683,Ducula-carola
Q1443209,Fulvetta-vinipectus
Q795568,Seleucidis-melanoleucus
Q947572,Turnagra-tanagra
Q1259396,Platycercus-caledonicus
Q990758,Eriocnemis-cupreoventris
Q1304982,Laniarius-turatii
Q1273042,Piaya-melanogaster
Q1272542,Bucco-capensis
Q668679,Paradisaea-rudolphi
Q1006679,Haematopus-fuliginosus
Q180696,Ninox-spilocephala
Q128039,Accipiter-meyerianus
Q780512,Pycnonotus-penicillatus
Q795560,Pteridophora-alberti
Q73928,Prinia-inornata
Q583812,Tersina-viridis
Q1259947,Poecilotriccus-pulchellus
Q1193037,Columbina-picui
Q18925606,Muscicapa-sodhii
Q1264417,Buteogallus-gundlachii
Q27074718,Alopecoenas-beccarii
Q933542,Columba-junoniae
Q794546,Biatas-nigropectus
Q131709,Egretta-garzetta
Q901888,Terenotriccus-erythrurus
Q1262576,Pseudoseisura-gutturalis
Q1261397,Himantornis-haematopus
Q2622134,Neochelidon-tibialis
Q27674,Hippolais-icterina
Q1300686,Icterus-gularis
Q62098309,Argya-rufescens
Q178821,Himantopus-himantopus
Q1071855,Poicephalus-gulielmi
Q2667631,Pachycephala-hyperythra
